平台,產品1,產品2,Function,Intention,landing後的URL
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home#contentTab_SpecialSet_P0401
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home#contentTab_Xfer_B0304
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Index
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Index#
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Login
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Login#
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/LoginMessage
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/LoginMessage#
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/LoginMessage#d
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Login_NoOPCheck
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Login#signin-ic-card
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Login#signin-normal
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout/
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout#
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/LogoutBox
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/LogoutBox#
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout#signin-normal
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/MyMobiBank
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/MyMobiBank#
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/MyVIP
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/NormalSignin
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Password_Change
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Password_Change#
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Password_Notice_Rst
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Password_Notice_Set
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/ReLogin
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/settings
MYBANK,CUB平台,CUB平台,功能_login,,https://www.mybank.com.tw/MyBank/Quicklinks/Home/Welcome
